model,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_sensitivity,macro_specificity,sens_ARR,spec_ARR,prec_ARR,f1_ARR,support_ARR,sens_CHF,spec_CHF,prec_CHF,f1_CHF,support_CHF,sens_NSR,spec_NSR,prec_NSR,f1_NSR,support_NSR,cm,patient_accuracy,patient_balanced_accuracy,patient_macro_f1,patient_macro_sensitivity,patient_macro_specificity,patient_cm,n_windows,fold
vmd_new_seed0,0.6323529411764706,0.7116666666666666,0.6283391173361962,0.6358786372761972,0.7116666666666666,0.8296703296703297,0.51,0.9,0.8793103448275862,0.6455696202531647,200,0.85,0.7928571428571428,0.46788990825688076,0.6035502958579883,60,0.775,0.7961538461538461,0.5391304347826087,0.635897435897436,80,"102,47,51;7,51,2;7,11,62",0.75,0.8518518518518517,0.7547619047619047,0.8518518518518517,0.8931623931623932,"5,2,2;0,3,0;0,0,4",340,0
vmd_new_seed0,0.75,0.7578703703703704,0.7329596162427489,0.7533624079651942,0.7578703703703704,0.870619658119658,0.7277777777777777,0.85,0.8618421052631579,0.7891566265060241,180,0.7333333333333333,0.9076923076923077,0.6470588235294118,0.6875,60,0.8125,0.8541666666666666,0.65,0.7222222222222223,80,"131,17,32;13,44,3;8,7,65",0.875,0.8518518518518517,0.8592592592592592,0.8518518518518517,0.9246031746031745,"8,0,1;1,2,0;0,0,4",320,1
vmd_new_seed0,0.703125,0.69,0.6565875653794356,0.7126547562071315,0.69,0.8438034188034188,0.72,0.8083333333333333,0.8622754491017964,0.784741144414169,200,0.7333333333333333,0.8423076923076923,0.5176470588235295,0.6068965517241379,60,0.6166666666666667,0.8807692307692307,0.5441176470588235,0.578125,60,"144,31,25;10,44,6;13,10,37",0.8125,0.8222222222222223,0.7886382623224728,0.8222222222222223,0.8931623931623932,"8,1,1;1,2,0;0,0,3",320,2
vmd_new_seed0,0.55625,0.5527777777777778,0.5287852613053386,0.5650852809864697,0.5527777777777778,0.769429181929182,0.55,0.7214285714285714,0.717391304347826,0.6226415094339623,180,0.48333333333333334,0.8076923076923077,0.3670886075949367,0.4172661870503597,60,0.625,0.7791666666666667,0.4854368932038835,0.5464480874316939,80,"99,43,38;16,29,15;23,7,50",0.625,0.6574074074074074,0.6126984126984127,0.6574074074074074,0.8177655677655679,"5,2,2;0,2,1;1,0,3",320,3
vmd_new_seed0,0.646875,0.6677777777777778,0.6173604738751696,0.6590468757501852,0.6677777777777778,0.8192307692307693,0.62,0.8,0.8378378378378378,0.7126436781609196,200,0.6333333333333333,0.8038461538461539,0.42696629213483145,0.5100671140939598,60,0.75,0.8538461538461538,0.5421686746987951,0.6293706293706293,60,"124,44,32;16,38,6;8,7,45",0.8125,0.8222222222222223,0.7886382623224728,0.8222222222222223,0.8931623931623932,"8,1,1;1,2,0;0,0,3",320,4
vmd_original_seed1,0.6235294117647059,0.6661111111111111,0.6079215767982368,0.6286075791487795,0.6661111111111111,0.81492673992674,0.54,0.8357142857142857,0.8244274809160306,0.6525679758308158,200,0.6333333333333333,0.8321428571428572,0.4470588235294118,0.5241379310344828,60,0.825,0.7769230769230769,0.532258064516129,0.6470588235294118,80,"108,42,50;14,38,8;9,5,66",0.625,0.7037037037037037,0.6233766233766234,0.7037037037037037,0.8177655677655679,"4,2,3;1,2,0;0,0,4",340,0
vmd_original_seed1,0.7125,0.7277777777777779,0.6951166845879707,0.7183572934282849,0.7277777777777779,0.8536782661782661,0.6833333333333333,0.8357142857142857,0.8424657534246576,0.7546012269938651,180,0.75,0.8461538461538461,0.5294117647058824,0.6206896551724139,60,0.75,0.8791666666666667,0.6741573033707865,0.7100591715976332,80,"123,33,24;10,45,5;13,7,60",0.875,0.9259259259259259,0.875,0.9259259259259259,0.9487179487179488,"7,2,0;0,3,0;0,0,4",320,1
vmd_original_seed1,0.7,0.6611111111111111,0.6444612771990689,0.7060958558590312,0.6611111111111111,0.8290598290598291,0.75,0.7333333333333333,0.8241758241758241,0.7853403141361257,200,0.6,0.8653846153846154,0.5070422535211268,0.549618320610687,60,0.6333333333333333,0.8884615384615384,0.5671641791044776,0.5984251968503937,60,"150,24,26;21,36,3;11,11,38",0.75,0.7111111111111111,0.6857142857142858,0.7111111111111111,0.8376068376068376,"8,1,1;2,1,0;0,0,3",320,2
vmd_original_seed1,0.61875,0.5439814814814815,0.5397752247752248,0.6097627372627372,0.5439814814814815,0.780540293040293,0.7277777777777777,0.6214285714285714,0.7119565217391305,0.7197802197802198,180,0.26666666666666666,0.9076923076923077,0.4,0.32,60,0.6375,0.8125,0.53125,0.5795454545454545,80,"131,19,30;29,16,15;24,5,51",0.75,0.6574074074074073,0.6833333333333332,0.6574074074074073,0.8293650793650794,"8,0,1;2,1,0;1,0,3",320,3
vmd_original_seed1,0.71875,0.7216666666666667,0.6828522944806968,0.7269126348234742,0.7216666666666667,0.8517094017094017,0.715,0.8166666666666667,0.8666666666666667,0.7835616438356166,200,0.65,0.8538461538461538,0.5064935064935064,0.5693430656934306,60,0.8,0.8846153846153846,0.6153846153846154,0.6956521739130435,60,"143,34,23;14,39,7;8,4,48",0.8125,0.8222222222222223,0.7886382623224728,0.8222222222222223,0.8931623931623932,"8,1,1;1,2,0;0,0,3",320,4
